"MKZ";"AJvon";"AJbis";"Minimum";"Maximum";"Spannweite";"Steigung";"Korrelationskoeffizient";"Bestimmtheitsmaß";"Netzart";"Anzahl Fehljahre";"Anzahl unvollst. AJ";"Anzahl vollst. AJ";"GRIMM-STRELE";"GWK";"GWK25"
"43420001";2024;2025;109,39;109,68;0,29;-0,2221095;-0,992;0,984;"OMD 1, EZS 365";"Fehljahre: 2024";1;1;-76,5894827586207;"DESN_VM-1-3";"DESN_VM-1-3"
"43420059";1995;2000;104,55;104,96;0,41;-0,0093647;-0,196;0,039;"ohne 0";"Fehljahre: 2000";1;5;-2,28407317073171;"DEST_EL-3-1";"DEST_EL-3-1"
"43420066";1995;2000;104,94;105,34;0,4;-0,0045828;-0,067;0,004;"ohne 0";"Fehljahre: 2000";1;5;-1,1457;"DEST_EL-3-1";"DEST_EL-3-1"
"43420072";1995;2025;106,49;107,25;0,76;-0,0040146;-0,277;0,077;"MENGE 365";"Fehljahre:";0;31;-0,528236842105263;"DEST_EL-3-1";"DEST_EL-3-1"
"43425058";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425059";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425060";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425061";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425066";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-3";"DESN_VM-1-3"
"43425068";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425069";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425100";1995;2012;114,58;116,12;1,54;0,0069921;0,114;0,013;"ohne 0";"Fehljahre: 2012";1;17;0,454032467532468;"DESN_VM-1-3";"DESN_VM-1-3"
"43425103";1995;2025;112,41;116,89;4,48;-0,0088624;-0,113;0,013;"EZS 24";"Fehljahre:";0;31;-0,197821428571429;"DESN_VM-1-3";"DESN_VM-1-3"
"43425105";1995;2009;112,85;116,01;3,16;-0,0016006;-0,008;0;"ohne 0";"Fehljahre: 2009";1;14;-0,0506518987341772;"DEST_EL-3-1";"DEST_EL-3-1"
"43425106";1995;2009;111,9;114,17;2,27;0,0108581;0,099;0,01;"ohne 0";"Fehljahre: 2009";1;14;0,478330396475771;"DEST_EL-3-1";"DEST_EL-3-1"
"43425107";1995;2022;112,05;119,83;7,78;0,2607023;0,903;0,816;"ohne 0";"Fehljahre: 1995, 2022";2;26;3,3509293059126;"DESN_VM-1-3";"DESN_VM-1-3"
"43425506";2004;2025;113,39;118,48;5,09;0,1529153;0,746;0,557;"EZS 365, UEB 1";"Fehljahre: 2004/2022";19;3;3,00422986247544;"DESN_VM-1-3";"DESN_VM-1-3"
"43429730_1";1995;2019;110,63;113,89;3,26;0,1172177;0,946;0,894;"ohne 0";"Fehljahre: 1995, 2000/2019";21;4;3,59563496932515;"DESN_VM-1-3";"DESN_VM-1-3"
"43429730_2";1995;2019;110,68;115,58;4,9;0,1802074;0,954;0,91;"ohne 0";"Fehljahre: 1995, 2000/2019";21;4;3,67770204081633;"DESN_VM-1-3";"DESN_VM-1-3"
"4342E5100";2016;2025;113,29;114,01;0,72;-0,0140073;-0,187;0,035;"MENGE 48, UEB 1";"Fehljahre: 2016";1;9;-1,94545833333333;"DESN_VM-1-3";"DESN_VM-1-3"
"43430201_1";2005;2025;73,16;77,28;4,12;-0,0529487;-0,355;0,126;"HW_S_DS 365";"Fehljahre: 2005/2006";2;19;-1,28516262135922;"DESN_EL-2-1";"DESN_EL-2-1"
"43435043";1995;1990;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-1";"DESN_EL-2-1"
"43435044";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-1";"DESN_EL-2-1"
"43435045";1995;1983;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-2";"DESN_EL-2-2-1"
"43435072";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435073";1995;2000;93,83;94,95;1,12;-0,0343955;-0,225;0,051;"ohne 0";"Fehljahre: 2000";1;5;-3,07102678571429;"DEST_EL-3-1";"DEST_EL-3-1"
"43435074";1995;2025;89,32;91,32;2;-0,0184715;-0,465;0,217;"EZS 24";"Fehljahre:";0;31;-0,923575;"DEST_EL-3-1";"DEST_EL-3-1"
"43435075";1995;1990;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435077";1995;2000;75,36;76,56;1,2;-0,0467632;-0,336;0,113;"ohne 0";"Fehljahre: 2000";1;5;-3,89693333333333;"DEST_EL-3-1";"DEST_EL-3-1"
"43435078";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435079";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435080";1995;2006;94,91;95,65;0,74;-0,0032535;-0,066;0,004;"ohne 0";"Fehljahre: 2006";1;11;-0,439662162162162;"DEST_EL-3-1";"DEST_EL-3-1"
"43435081";1995;2012;83,77;85,22;1,45;8,08e-05;0,001;0;"ohne 0";"Fehljahre: 2010/2012";3;15;0,00557241379310345;"DEST_EL-3-1";"DEST_EL-3-1"
"43435082";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435083";1995;2023;91,46;98,6;7,14;-0,1027757;-0,608;0,37;"ohne 0";"Fehljahre: 2018, 2023";2;27;-1,43943557422969;"DEST_EL-3-1";"DEST_EL-3-1"
"43435084";1995;2013;86,24;87,19;0,95;-0,0030068;-0,059;0,003;"ohne 0";"Fehljahre: 2009/2013";5;14;-0,316505263157895;"DEST_EL-3-1";"DEST_EL-3-1"
"43435085";1995;2025;72,07;75,68;3,61;-0,034462;-0,391;0,154;"EZS 24";"Fehljahre: 2020";1;30;-0,954626038781163;"DEST_EL-3-1";"DEST_EL-3-1"
"43435086";1995;2025;75,85;82,6;6,75;0,0247674;0,242;0,059;"EZS 24";"Fehljahre: 2012/2013, 2015/2025";13;18;0,366924444444444;"DEST_EL-3-1";"DEST_EL-3-1"
"43435087";1995;2000;74,79;76,7;1,91;-0,2170248;-0,614;0,377;"ohne 0";"Fehljahre: 2000";1;5;-11,362554973822;"DEST_EL-3-1";"DEST_EL-3-1"
"43435088";1995;1989;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-1";"DESN_EL-2-1"
"43435089";1995;2025;72,92;76,25;3,33;-0,0248662;-0,338;0,115;"MENGE 365";"Fehljahre: 2013";1;30;-0,746732732732733;"DESN_EL-2-1";"DESN_EL-2-1"
"43435090";1995;2000;73,25;76,9;3,65;-0,2407985;-0,452;0,204;"ohne 0";"Fehljahre: 1995, 2000";2;4;-6,59721917808219;"DESN_EL-2-1";"DESN_EL-2-1"
"43435091";1995;2000;73;77,43;4,43;-0,2837775;-0,487;0,238;"ohne 0";"Fehljahre: 1995, 2000";2;4;-6,40581264108352;"DESN_EL-2-1";"DESN_EL-2-1"
"43435095";1995;1988;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43440001";1996;2025;75,95;79,07;3,12;-0,0430247;-0,508;0,259;"MENGE 48, HW_S_DS 365";"Fehljahre: 1996/2006";11;19;-1,37899679487179;"DESN_EL-2-2";"DESN_EL-2-2-1"
"43440002_2";1996;2025;80,04;81,92;1,88;-0,0325931;-0,533;0,285;"MENGE 365";"Fehljahre: 1996/2008";13;17;-1,73367553191489;"DEBB_SE-4-2";"DEBB_SE-4-2_5304"
"43440005";2024;2025;75,51;76,51;1;-0,327601;-0,582;0,339;"OMD 1, EZS 365";"Fehljahre: 2024";1;1;-32,7601;"DESN_EL-2-2";"DESN_EL-2-2-1"
"43446000";1999;2012;78,37;80,78;2,41;0,0586979;0,569;0,323;"ohne 0";"Fehljahre: 1999/2010, 2012";13;1;2,43559751037344;"DEBB_SE-4-2";"DEBB_SE-4-2_5304"
"43453716";1995;2013;81,12;82,63;1,51;0,011766;0,206;0,042;"ohne 0";"Fehljahre: 2013";1;18;0,779205298013245;"DEBB_SE-4-2";"DEBB_SE-4-2_5304"
"43536001";1999;2012;124,72;126,43;1,71;0,030386;0,249;0,062;"ohne 0";"Fehljahre: 1999/2000, 2002";3;11;1,77695906432749;"DEBB_NE-4-2";"DEBB_NE-4-2_6701"
"43540116";1995;2010;89,59;90,98;1,39;-0,0348508;-0,531;0,283;"ohne 0";"Fehljahre: 2009/2010";2;14;-2,50725179856115;"DEBB_NE-4-2";NA
"43540117";1995;2010;89,56;90,98;1,42;-0,0324516;-0,502;0,252;"ohne 0";"Fehljahre: 2009/2010";2;14;-2,28532394366197;"DEBB_NE-4-2";NA
"43540415";1995;2013;123,32;124,39;1,07;-0,0023085;-0,056;0,003;"ohne 0";"Fehljahre: 2013";1;18;-0,215747663551402;"DEBB_NE-4-2";NA
"44390001";2013;2025;96,02;98,36;2,34;-0,0815506;-0,538;0,289;"OMD 1, EZS 365";"Fehljahre: 2013/2022";10;3;-3,48506837606838;"DESN_VM-2-2";"DESN_VM-2-2"
"44390376_1";1995;2005;81,72;87,22;5,5;0,3515226;0,721;0,52;"ohne 0";"Fehljahre: 2000/2005";6;5;6,39132;"DESN_VM-1-1";"DESN_VM-1-1"
"44390376_2";1995;2000;83,22;84,35;1,13;0,1339341;0,738;0,544;"ohne 0";"Fehljahre: 2000";1;5;11,8525752212389;"DESN_VM-1-1";"DESN_VM-1-1"
"44391280";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44392976_1";1995;1994;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44392976_2";1995;2000;88,32;89,1;0,78;-0,1364648;-0,877;0,77;"ohne 0";"Fehljahre: 2000";1;5;-17,4954871794872;"DESN_VM-2-2";"DESN_VM-2-2"
"44392976_3";1995;2016;88,32;96,24;7,92;0,3337082;0,929;0,863;"ohne 0";"Fehljahre: 2016";1;21;4,21348737373737;"DESN_VM-2-2";"DESN_VM-2-2"
"44393876";1995;2025;86,98;97,29;10,31;0,2754412;0,836;0,699;"ohne 0";"Fehljahre: 2025";1;30;2,671592628516;"DESN_VM-2-2";"DESN_VM-2-2"
"44395181";1995;1994;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396262";1995;2015;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396267";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396268";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396269";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396279";1995;2018;88,88;98,3;9,42;0,5173387;0,958;0,919;"ohne 0";"Fehljahre: 2013/2014, 2017/2018";4;20;5,49191825902336;"DESN_VM-2-2";"DESN_VM-2-2"
"44396281";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396283";1995;1973;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396284";1995;1971;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396285";1995;1973;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396286";1995;1973;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396299";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_SAL-GW-022";"DEST_SAL-GW-022"
"44396300";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396301";1995;1968;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396305";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396310";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396311";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44396312";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396313";1995;1971;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396314";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396315";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396316";1995;1971;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396317";1995;1971;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44396318";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44396321";1995;1977;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44396323";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44396325";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44396336";1995;1977;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44396340";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44399349";1995;1983;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44399354";1995;2000;89,16;89,96;0,8;-0,0700554;-0,499;0,249;"ohne 0";"Fehljahre: 1997/2000";4;2;-8,756925;"DESN_VM-1-1";"DESN_VM-1-1"
"44399398";1995;2017;87,83;92,45;4,62;0,1994674;0,882;0,777;"ohne 0";"Fehljahre: 2012, 2017";2;21;4,31747619047619;"DESN_VM-1-1";"DESN_VM-1-1"
"4439B1619";1998;2011;81,81;97,75;15,94;1,0376745;0,964;0,929;"MENGE_DRITTES 12, OMBk_DRITTEB 1";"Fehljahre: 1998/2008, 2010/2011";13;1;6,50987766624843;"DESN_VM-1-1";"DESN_VM-1-1"
"4439B1681";2008;2017;94,69;98,08;3,39;0,3906025;0,638;0,407;"MENGE_DRITTES 12";"Fehljahre: 2008, 2010/2017";9;1;11,522197640118;"DESN_VM-1-1";"DESN_VM-1-1"
"4439B5792";2008;2011;89,19;93,1;3,91;0,9411901;0,879;0,773;"OMD_DRITTEB 1, MENGE_DRITTES 12";"Fehljahre: 2008, 2011";2;2;24,071358056266;"DESN_VM-2-2";"DESN_VM-2-2"
"4439E3876";2025;2025;NA;NA;NA;NA;NA;NA;"MENGE 48, OMD 2";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"4439E6279";1995;2025;88,88;98,3;9,42;0,3023591;0,849;0,722;"MENGE 365, UEB 1";"Fehljahre: 2013/2014";2;29;3,20975690021231;"DESN_VM-2-2";"DESN_VM-2-2"
"4439ST0001";1995;2015;89,45;96,41;6,96;0,3816051;0,946;0,895;"ohne 0";"Fehljahre: 2013/2015";3;18;5,48283189655172;"DESN_VM-2-2";"DESN_VM-2-2"
"4439ST0104";2004;2012;89,77;94,12;4,35;0,4388375;0,896;0,803;"ohne 0";"Fehljahre: 2004";1;8;10,0882183908046;"DESN_VM-2-2";"DESN_VM-2-2"
"44400015";1995;2025;90,38;93,76;3,38;0,0780056;0,747;0,558;"HW_S_DS 365, UEB 1";"Fehljahre: 2001/2002, 2016";3;28;2,30785798816568;"DESN_VM-1-1";"DESN_VM-1-1"
"44400016";2017;2025;95,42;96,79;1,37;0,0470053;0,39;0,152;"OMD 1, MENGE 365";"Fehljahre: 2017";1;8;3,43104379562044;"DESN_VM-1-1";"DESN_VM-1-1"
"44400025";1995;2000;94,1;96,97;2,87;-0,5769754;-0,911;0,83;"ohne 0";"Fehljahre: 2000";1;5;-20,1036724738676;"DESN_VM-1-1";"DESN_VM-1-1"
"44400238";1995;2012;75,22;86,98;11,76;0,8638044;0,937;0,878;"ohne 0";"Fehljahre: 2000, 2010/2012";4;14;7,34527551020408;"DESN_VM-1-1";"DESN_VM-1-1"
"44400323_1";1995;2025;83,24;89,54;6,3;0,1900643;0,831;0,691;"EZS 48";"Fehljahre: 1999, 2002/2003, 2020";4;27;3,01689365079365;"DESN_VM-1-1";"DESN_VM-1-1"
"44400323_2";1995;2000;83,2;84,42;1,22;0,133778;0,867;0,752;"ohne 0";"Fehljahre: 1999";1;5;10,9654098360656;"DESN_VM-1-1";"DESN_VM-1-1"
"44400361_1";1995;2025;94,71;100,4;5,69;0,1200903;0,763;0,583;"EZS 48";"Fehljahre: 2008, 2014, 2021, 2024";4;27;2,11055008787346;"DESN_VM-1-1";"DESN_VM-1-1"
"44400361_2";1995;2015;85,09;98,75;13,66;0,7199307;0,968;0,937;"ohne 0";"Fehljahre: 2008, 2014/2015";3;18;5,27035651537335;"DESN_VM-1-1";"DESN_VM-1-1"
"44400501";2004;2025;93,42;95,03;1,61;0,0301465;0,349;0,122;"HW_S_DS 365";"Fehljahre: 2004/2017";14;8;1,87245341614907;"DESN_VM-1-1";"DESN_VM-1-1"
"44400865_1";1995;2025;90,45;92,83;2,38;0,021661;0,429;0,184;"MENGE 24";"Fehljahre:";0;31;0,910126050420168;"DESN_VM-1-1";"DESN_VM-1-1"
"44400865_2";1995;2000;79,47;84,36;4,89;-0,9747395;-0,938;0,88;"ohne 0";"Fehljahre: 2000";1;5;-19,9333231083845;"DESN_VM-1-1";"DESN_VM-1-1"
"44400865_3";1995;2006;68,69;82,91;14,22;1,560484;0,956;0,914;"ohne 0";"Fehljahre: 2006";1;11;10,9738677918425;"DESN_VM-1-1";"DESN_VM-1-1"
"44400901";2001;2025;74,09;81,35;7,26;0,0372459;0,28;0,078;"GWS_DRITTES 365";"Fehljahre: 2001, 2015/2016";3;22;0,513028925619835;"DESN_VM-1-1";"DESN_VM-1-1"
"44401266_1";1995;2019;80,39;98,74;18,35;0,5233548;0,912;0,832;"ohne 0";"Fehljahre: 2016/2019";4;21;2,85206975476839;"DESN_VM-1-1";"DESN_VM-1-1"
"44401266_2";1995;2000;81,18;83,42;2,24;0,3651396;0,909;0,827;"ohne 0";"Fehljahre: 2000";1;5;16,300875;"DESN_VM-1-1";"DESN_VM-1-1"
"44401566_1";1995;2019;93,63;99,11;5,48;0,1566614;0,848;0,719;"ohne 0";"Fehljahre:";0;25;2,85878467153285;"DESN_VM-1-1";"DESN_VM-1-1"
"44401566_2";2005;2019;91,12;96,14;5,02;0,1271276;0,438;0,192;"ohne 0";"Fehljahre: 2005/2011";7;8;2,53242231075697;"DESN_VM-1-1";"DESN_VM-1-1"
"44401566_3";1995;2000;83,19;85,88;2,69;0,4287247;0,865;0,748;"ohne 0";"Fehljahre: 2000";1;5;15,9377211895911;"DESN_VM-1-1";"DESN_VM-1-1"
"44401567";2020;2025;96,17;97,61;1,44;0,1237785;0,617;0,381;"UEB 1, MENGE 24";"Fehljahre:";0;6;8,59572916666667;"DESN_VM-1-1";"DESN_VM-1-1"
"44401568";2020;2025;93,45;94,92;1,47;0,1255741;0,643;0,413;"UEB 1, MENGE 24";"Fehljahre:";0;6;8,54245578231292;"DESN_VM-1-1";"DESN_VM-1-1"
"44402666_1";1995;2015;87,93;96,63;8,7;-0,4225041;-0,999;1;"ohne 0";"Fehljahre: 1995/2015";21;0;-4,85636896551724;"DESN_VM-1-1";"DESN_VM-1-1"
"44402666_2";1995;2012;95;97,07;2,07;0,0280041;0,353;0,125;"ohne 0";"Fehljahre: 2012";1;17;1,35285507246377;"DESN_VM-1-1";"DESN_VM-1-1"
"44402666_3";1995;2000;79,65;80,93;1,28;0,12021;0,638;0,406;"ohne 0";"Fehljahre: 2000";1;5;9,39140625;"DESN_VM-1-1";"DESN_VM-1-1"
"44402666_4";1995;2012;79,78;88,63;8,85;0,63766;0,938;0,879;"ohne 0";"Fehljahre: 2012";1;17;7,20519774011299;"DESN_VM-1-1";"DESN_VM-1-1"
"44403366_1";1995;2012;92,23;93,56;1,33;0,0359543;0,689;0,475;"ohne 0";"Fehljahre: 2012";1;17;2,70333082706767;"DESN_VM-1-1";"DESN_VM-1-1"
"44403366_2";1995;2012;81,82;93,56;11,74;0,8964755;0,942;0,886;"ohne 0";"Fehljahre: 2012";1;17;7,63607751277683;"DESN_VM-1-1";"DESN_VM-1-1"
"44403366_3";1995;2012;92,24;93,63;1,39;0,0364252;0,696;0,485;"ohne 0";"Fehljahre: 2012";1;17;2,62051798561151;"DESN_VM-1-1";"DESN_VM-1-1"
"44405267_1";1995;2000;90,96;92,09;1,13;-0,1231017;-0,59;0,349;"ohne 0";"Fehljahre: 2000";1;5;-10,8939557522124;"DESN_VM-1-1";"DESN_VM-1-1"
"44405267_2";1995;2015;91,04;92,14;1,1;-0,0356986;-0,309;0,096;"ohne 0";"Fehljahre: 2000/2015";16;5;-3,24532727272727;"DESN_VM-1-1";"DESN_VM-1-1"
"44406309";1995;2012;97,29;100,46;3,17;0,0804813;0,66;0,436;"ohne 0";"Fehljahre: 2012";1;17;2,53884227129338;"DESN_VM-1-1";"DESN_VM-1-1"
"44406337";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44406339";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44406340";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44406341";1995;1975;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-2-2";"DESN_VM-2-2"
"44406363";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406364";1995;1977;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406366";1995;1978;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406370";1995;1972;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406377";1995;1978;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406378";1995;1978;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406379";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406380";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406387";1995;1970;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406388";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406389";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406391";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406392";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406394";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406395";1995;1976;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406396";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406397";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406400";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406402";1995;1979;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406403";1995;2009;94,51;96,05;1,54;0,0374619;0,483;0,233;"ohne 0";"Fehljahre: 2009";1;14;2,43259090909091;"DESN_VM-1-1";"DESN_VM-1-1"
"44406406";1995;2009;94,02;95,76;1,74;0,0567675;0,576;0,331;"ohne 0";"Fehljahre: 2009";1;14;3,2625;"DESN_VM-1-1";"DESN_VM-1-1"
"44406407";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406408";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406409";1995;1970;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406410";1995;1974;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-1";"DESN_VM-1-1"
"44406411";1995;2019;85,4;87,33;1,93;0,0284423;0,502;0,252;"ohne 0";"Fehljahre: 1997, 2012, 2015/2016, 2019";5;20;1,47369430051813;"DESN_VM-1-1";"DESN_VM-1-1"
