"MKZ";"AJvon";"AJbis";"Minimum";"Maximum";"Spannweite";"Steigung";"Korrelationskoeffizient";"Bestimmtheitsmaß";"Netzart";"Anzahl Fehljahre";"Anzahl unvollst. AJ";"Anzahl vollst. AJ";"GRIMM-STRELE";"GWK";"GWK25"
"48510435";1995;1999;279,7;280,72;1,02;0,0025297;0,016;0;"ohne 0";"Fehljahre:";0;5;0,248009803921569;"DESN_EL-1-4";"DESN_EL-1-4"
"48510929";1995;2025;251,03;251,66;0,63;-0,0035473;-0,283;0,08;"EZS 24";"Fehljahre:";0;31;-0,563063492063492;"DESN_SE-1-2";"DESN_SE-1-4"
"48510965";1995;2012;222,21;223,39;1,18;-0,0077861;-0,192;0,037;"ohne 0";"Fehljahre: 2012";1;17;-0,659838983050848;"DESN_SE-1-2";"DESN_SE-1-4"
"48510966";1995;2015;239,46;240,91;1,45;0,00098;0,022;0;"ohne 0";"Fehljahre:";0;21;0,0675862068965517;"DESN_SE-1-2";"DESN_SE-1-4"
"48511110";1995;2025;288,32;290,16;1,84;-0,0136508;-0,376;0,142;"MENGE 48";"Fehljahre:";0;31;-0,741891304347826;"DESN_EL-1-4";"DESN_EL-1-4"
"48511111";1995;2025;228,19;231,59;3,4;-0,0185152;-0,242;0,059;"MENGE 48";"Fehljahre: 2018";1;30;-0,544564705882353;"DESN_SE-1-2";"DESN_SE-1-4"
"48511223";1995;2007;201,09;203,52;2,43;-0,0542336;-0,344;0,119;"ohne 0";"Fehljahre:";0;13;-2,2318353909465;"DESN_SE-1-2";"DESN_SE-1-4"
"48512394";NA;NA;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SE-1-2";"DESN_SE-1-4"
"48514029";1995;2025;291,22;292,64;1,42;2,77e-05;0,001;0;"EZS 24";"Fehljahre: 1996";1;30;0,00195070422535211;"DESN_SE-1-2";"DESN_SE-1-4"
"48518081";1995;2020;236,43;238,02;1,59;-0,0065687;-0,149;0,022;"ohne 0";"Fehljahre:";0;26;-0,413125786163522;"DESN_SE-1-2";"DESN_SE-1-4"
"48518082";1995;2015;225,63;226,44;0,81;0,0282724;0,553;0,306;"ohne 0";"Fehljahre: 2000/2015";16;5;3,49041975308642;"DESN_SE-1-2";"DESN_SE-1-4"
"48518083";1995;1999;216,31;216,7;0,39;0,0117496;0,186;0,035;"ohne 0";"Fehljahre:";0;5;3,01271794871795;"DESN_SE-1-2";"DESN_SE-1-4"
"48518084";1995;2007;216,12;216,84;0,72;0,0090683;0,265;0,07;"ohne 0";"Fehljahre: 1997";1;12;1,25948611111111;"DESN_SE-1-2";"DESN_SE-1-4"
"48518085";1995;2025;219,88;222,85;2,97;-0,0217082;-0,283;0,081;"MENGE 365, HW_S_DS 365";"Fehljahre: 2009";1;30;-0,730915824915825;"DESN_SE-1-2";"DESN_SE-1-4"
"48518086";1995;2008;230,42;232;1,58;-0,0310442;-0,329;0,109;"ohne 0";"Fehljahre:";0;14;-1,96482278481013;"DESN_SE-1-2";"DESN_SE-1-4"
"48518087";1995;2008;224,13;225,69;1,56;-0,0668669;-0,723;0,523;"ohne 0";"Fehljahre:";0;14;-4,28633974358974;"DESN_SE-1-2";"DESN_SE-1-4"
"48519001";2005;2023;258,69;261,26;2,57;-0,0461494;-0,376;0,141;"ohne 0";"Fehljahre: 2005/2007, 2009/2018, 2023";14;5;-1,79569649805447;"DESN_SE-1-2";"DESN_SE-1-4"
"48520390";1995;1996;205,13;205,45;0,32;-0,0976872;-0,405;0,164;"ohne 0";"Fehljahre: 1995";1;1;-30,52725;"DESN_SP-1-2";"DESN_SP-1-3"
"48520391";1995;1989;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48520392";1995;1990;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520393";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520394";1995;2009;230,7;232,76;2,06;0,0008159;0,002;0;"ohne 0";"Fehljahre: 1995/2004, 2009";11;4;0,0396067961165049;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520395";1995;2025;234,46;239,33;4,87;-0,0429692;-0,365;0,134;"MENGE 48";"Fehljahre:";0;31;-0,882324435318275;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520396";1995;2025;247,37;252,07;4,7;-0,0425517;-0,377;0,142;"EZS 48";"Fehljahre: 2018";1;30;-0,905355319148936;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520397";1995;1997;258,62;261,98;3,36;-0,1838176;-0,14;0,02;"ohne 0";"Fehljahre: 1997";1;2;-5,4707619047619;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520398";1995;1982;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520402";1995;2007;213,39;215,48;2,09;-0,0417901;-0,403;0,163;"ohne 0";"Fehljahre:";0;13;-1,99952631578947;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520414";1995;2025;204,14;207,52;3,38;-0,011399;-0,159;0,025;"HW_S_BB 48, MENGE 48";"Fehljahre:";0;31;-0,337248520710059;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48520448";1995;1984;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48520449";1995;2009;211,87;214,35;2,48;-0,034106;-0,282;0,08;"ohne 0";"Fehljahre: 2000, 2009";2;13;-1,37524193548387;"DESN_SP-1-2";"DESN_SP-1-3"
"48520450";1995;1999;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48520452";1995;2008;203,38;204,88;1,5;-0,0544065;-0,653;0,426;"ohne 0";"Fehljahre: 2008";1;13;-3,6271;"DESN_SP-1-2";"DESN_SP-1-3"
"48522391";NA;NA;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48522600";2015;2015;NA;NA;NA;NA;NA;NA;"OWB 0, EZS 48";NA;NA;NA;NA;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48522761";NA;NA;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-1";"DESN_SP-1-1-1"
"48530001";2021;2025;181,98;182,69;0,71;0,0602301;0,427;0,183;"OMD 1, EZS 365";"Fehljahre: 2021";1;4;8,48311267605634;"DESN_SP-1-2";"DESN_SP-1-3"
"48530315";1995;2015;173,1;175,49;2,39;-0,0076966;-0,105;0,011;"ohne 0";"Fehljahre: 2002, 2005, 2007, 2010, 2015";5;16;-0,322033472803347;"DESN_SP-1-2";"DESN_SP-1-3"
"48530445";1995;2004;250,69;254,45;3,76;-0,1041704;-0,504;0,254;"ohne 0";"Fehljahre: 1998/2000, 2002";4;6;-2,77048936170213;"DESN_SP-1-2";"DESN_SP-1-3"
"48530446";1995;2009;238,01;239,6;1,59;-0,0789235;-0,748;0,561;"ohne 0";"Fehljahre: 2009";1;14;-4,96374213836478;"DESN_SP-1-2";"DESN_SP-1-3"
"48530447";1995;2009;234,31;236,95;2,64;-0,0434939;-0,373;0,139;"ohne 0";"Fehljahre: 2009";1;14;-1,64749621212121;"DESN_SP-1-2";"DESN_SP-1-3"
"48530466";1995;1984;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48530468";1995;2010;271,73;275,16;3,43;-0,0792902;-0,425;0,181;"ohne 0";"Fehljahre:";0;16;-2,31166763848396;"DESN_SP-1-2";"DESN_SP-1-3"
"48530469";1995;2006;262,04;263,55;1,51;-0,0549282;-0,604;0,365;"ohne 0";"Fehljahre: 1999, 2004";2;10;-3,63762913907285;"DESN_SP-1-2";"DESN_SP-1-3"
"48530910";1995;1957;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48530911";1995;2004;204,64;207,6;2,96;0,0210982;0,147;0,022;"ohne 0";"Fehljahre: 1996/1997";2;8;0,712777027027027;"DESN_SP-1-2";"DESN_SP-1-3"
"48530969";1995;2009;178,06;181,03;2,97;-0,129545;-0,799;0,639;"ohne 0";"Fehljahre: 2007/2009";3;12;-4,36178451178451;"DESN_SP-1-2";"DESN_SP-1-3"
"48530992";1995;2025;278,33;279,81;1,48;-0,0063647;-0,183;0,033;"MENGE 48";"Fehljahre:";0;31;-0,430047297297297;"DESN_SP-1-2";"DESN_SP-1-3"
"48531208";1995;2025;309,91;312,66;2,75;-0,0072125;-0,176;0,031;"MENGE 48";"Fehljahre:";0;31;-0,262272727272727;"DESN_SP-1-2";"DESN_SP-1-3"
"48531383";1995;2009;290,34;293,94;3,6;-0,0395838;-0,18;0,032;"ohne 0";"Fehljahre: 2009";1;14;-1,09955;"DESN_SP-1-2";"DESN_SP-1-3"
"48531530";1995;2019;309,65;311,42;1,77;-0,0096907;-0,224;0,051;"ohne 0";"Fehljahre: 2007, 2019";2;23;-0,547497175141243;"DESN_SP-1-2";"DESN_SP-1-3"
"48531531";1995;2017;331,82;335,22;3,4;0,0431862;0,353;0,124;"ohne 0";"Fehljahre: 2007, 2017";2;21;1,27018235294118;"DESN_SP-1-2";"DESN_SP-1-3"
"48532414";2015;2015;NA;NA;NA;NA;NA;NA;"UEB 1";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48539001";2008;2025;160,23;162,31;2,08;-0,0102314;-0,132;0,017;"UEB 1, MENGE 48";"Fehljahre: 2008";1;17;-0,491894230769231;"DESN_SP-1-2";"DESN_SP-1-3"
"48540439";1995;2025;241,78;242,87;1,09;-0,0057579;-0,24;0,058;"MENGE 48";"Fehljahre: 2017";1;30;-0,528247706422018;"DESN_SP-2-2";"DESN_SP-2-2"
"48540441";1995;2011;239,83;241,03;1,2;-0,0153263;-0,257;0,066;"ohne 0";"Fehljahre:";0;17;-1,27719166666667;"DESN_SP-2-2";"DESN_SP-2-2"
"48540442";1995;2004;230,35;232,05;1,7;-0,0741856;-0,677;0,459;"ohne 0";"Fehljahre:";0;10;-4,36385882352941;"DESN_SP-2-2";"DESN_SP-2-2"
"48540444";1995;2011;237,1;241,23;4,13;0,0291649;0,186;0,035;"ohne 0";"Fehljahre: 1998";1;16;0,70617191283293;"DESN_SP-2-2";"DESN_SP-2-2"
"48540461";1995;2009;231,3;233,31;2,01;-0,0617463;-0,637;0,406;"ohne 0";"Fehljahre: 2009";1;14;-3,0719552238806;"DESN_SP-1-2";"DESN_SP-1-3"
"48540462";1995;2006;234,08;236,48;2,4;-0,0410602;-0,289;0,084;"ohne 0";"Fehljahre:";0;12;-1,71084166666667;"DESN_SP-1-2";"DESN_SP-1-3"
"48540463";1995;1983;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48540465";1995;1993;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-1-2";"DESN_SP-1-3"
"48540858";1995;2025;215,64;217,47;1,83;-0,0110155;-0,275;0,076;"MENGE 48";"Fehljahre:";0;31;-0,601939890710382;"DESN_SP-1-2";"DESN_SP-1-3"
"48540968";1995;2006;233,8;235,29;1,49;-0,0373926;-0,366;0,134;"ohne 0";"Fehljahre:";0;12;-2,50957046979866;"DESN_SP-1-2";"DESN_SP-1-3"
"48541951";1995;1960;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-2-2";"DESN_SP-2-2"
"48543018";1995;2009;255,37;260,1;4,73;-0,2410838;-0,81;0,657;"ohne 0";"Fehljahre: 2001, 2008/2009";3;12;-5,09690909090909;"DESN_SP-2-2";"DESN_SP-2-2"
"48543020";1995;1964;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-2-2";"DESN_SP-2-2"
"48543021";1995;2025;191,17;193,51;2,34;-0,001176;-0,037;0,001;"EZS 48";"Fehljahre: 2003/2004";2;29;-0,0502564102564103;"DESN_SP-2-2";"DESN_SP-2-2"
